ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,Age,Total_Spent,Total_Purchases,Total_Children,Customer_Days,Cluster,PCA1,PCA2
5524,1957,Graduation,Single,58138.0,0,0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,0,1,69,1617,22,0,4867,3,1.6895917146051105,1.7718077684872244
2174,1954,Graduation,Single,46344.0,1,1,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,0,72,27,4,2,4317,0,-1.5651071705083521,-1.0827408940112258
4141,1965,Graduation,Together,71613.0,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,61,776,20,0,4516,3,1.8145235534241602,-0.5592319253852323
6182,1984,Graduation,Together,26646.0,1,0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,0,42,53,6,1,4343,0,-1.5672720961653581,-1.20261496053951
5324,1981,PhD,Married,58293.0,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,45,422,14,1,4365,1,-0.06962967968633522,0.406062303206002
7446,1967,Master,Together,62513.0,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,59,716,20,1,4497,3,0.6761524106219379,0.21373950687781243
965,1971,Graduation,Divorced,55635.0,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,55,590,17,1,4797,1,0.09150233344896944,1.4845655775324433
6177,1985,PhD,Married,33454.0,1,0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,0,41,169,8,1,4621,2,-1.5222777629468272,-0.03942879564699845
4855,1974,PhD,Together,30351.0,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,1,52,46,5,1,4592,2,-1.983774831225939,-0.5245088117011334
5899,1950,PhD,Together,5648.0,1,1,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,0,0,76,49,1,2,4312,2,-5.111127592022528,0.18186615183901625
1994,1983,Graduation,Married,51381.5,1,0,2013-11-15,11,5,5,6,0,2,1,1,1,0,2,7,0,0,43,19,3,1,4430,0,-1.3228290380810974,-1.231424756137118
387,1976,Basic,Married,7500.0,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,50,61,5,0,4797,2,-1.8368088405530498,-0.4612536140190995
2125,1959,Graduation,Divorced,63033.0,0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,67,1102,15,0,4430,3,1.9244908759531363,-1.127120350738067
8180,1952,Master,Divorced,59354.0,1,1,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,74,310,12,2,4430,0,-0.7669270444999445,0.2028545324855573
2569,1987,Graduation,Married,17323.0,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,39,46,4,0,4831,2,-1.6952127104233803,-0.40285172174433903
2114,1946,PhD,Single,82800.0,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,1,80,1315,25,0,4786,3,3.0000167970854847,0.4994217088877179
9736,1980,Graduation,Married,41850.0,1,1,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,46,96,6,2,4756,2,-2.0520450227764235,0.9087143183257614
